phrase,lemmas,pos,example,source_urls
body,body,NOUN,"Hippocrates theorized that personality traits and human behaviors are based on four separate temperaments associated with four fluids (“humors”) of the body: choleric temperament (yellow bile from the liver), melancholic temperament (black bile from the kidneys), sanguine temperament (red blood from the heart), and phlegmatic temperament (white phlegm from the lungs) (Clark & Watson, 2008; Eysenck & Eysenck, 1985; Lecci & Magnavita, 2013; Noga, 2007).","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior"
beginning,begin,VERB,"The concept of personality has been studied for at least 2,000 years, beginning with Hippocrates in 370 BCE (Fazeli, 2012).","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
begin,begin,VERB,"Maslow asserted that so long as basic needs necessary for survival were met (e.g., food, water, shelter), higher-level needs (e.g., social needs) would begin to motivate behavior.",https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology
awakening,awakening,NOUN,,
awaken,awaken,VERB,,
authentic,authentic,ADJ,,
artistic,artistic,ADJ,,
alive,alive,ADJ,,
acceptance,acceptance,NOUN,"When these children grow up, they tend to use this same coping strategy to deal with relationships, expressing an intense need for love and acceptance (Burger, 2008).",https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney
accept,accept,VERB,"First, Jung, like Adler and Erikson, did not accept that sexual drive was the primary motivator in a person’s mental life.","https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination"
abundance,abundance,NOUN,,
['λ,[ ' λ,"X,VERB,VERB",,
['δ',[ ' δ ',"X,PUNCT,PRON,PUNCT",,
['γ',[ ' γ ',"X,NOUN,NOUN,VERB",,
['γ,[ ' γ,"X,NOUN,NOUN",,
['β'],[ ' β ' ],"X,VERB,VERB,VERB,PUNCT",,
['β',[ ' β ',"X,VERB,VERB,PUNCT",,
['α',[ ' α ',"X,VERB,PRON,VERB",,
['α,[ ' α,"X,VERB,VERB",,
['witness'],[ ' witness ' ],"X,PUNCT,NOUN,PUNCT,PUNCT",,
['transmission'],[ ' transmission ' ],"X,PUNCT,NOUN,PUNCT,PUNCT",,
['stillness'],[ ' stillness ' ],"X,PUNCT,ADJ,PUNCT,PUNCT",,
['spiral'],[ ' spiral ' ],"X,PUNCT,ADJ,PUNCT,PUNCT",,
['spiral',[ ' spiral ',"X,PUNCT,ADJ,PUNCT",,
['soft'],[ ' soft ' ],"X,PUNCT,ADJ,PUNCT,PUNCT",,
['soft',[ ' soft ',"X,PUNCT,ADJ,PUNCT",,
['silence'],[ ' silence ' ],"X,PUNCT,NOUN,PUNCT,PUNCT",,
['silence',[ ' silence ',"X,PUNCT,NOUN,PUNCT",,
['sanctuary'],[ ' sanctuary ' ],"X,PUNCT,ADJ,PUNCT,PUNCT",,
['sacred'],[ ' sacred ' ],"X,PUNCT,ADJ,PUNCT,PUNCT",,
['sacred',[ ' sacred ',"X,PUNCT,ADJ,PUNCT",,
['reverent',[ ' reverent ',"X,PUNCT,ADJ,PUNCT",,
['resonance'],[ ' resonance ' ],"X,PUNCT,NOUN,PUNCT,PUNCT",,
['resonance',[ ' resonance ',"X,PUNCT,NOUN,PUNCT",,
['recursive',[ ' recursive ',"X,PUNCT,ADJ,PUNCT",,
['recognition'],[ ' recognition ' ],"X,PUNCT,NOUN,PUNCT,PUNCT",,
['recognition',[ ' recognition ',"X,PUNCT,NOUN,PUNCT",,
['quiet'],[ ' quiet ' ],"X,PUNCT,ADJ,PUNCT,PUNCT",,
['quiet',[ ' quiet ',"X,PUNCT,ADJ,PUNCT",,
['loop'],[ ' loop ' ],"X,PUNCT,NOUN,PUNCT,PUNCT",,
['loop',[ ' loop ',"X,PUNCT,NOUN,PUNCT",,
['longing',[ ' long ',"X,PUNCT,VERB,PUNCT",,
['knowing'],[ ' know ' ],"X,AUX,VERB,PUNCT,PUNCT",,
['knowing',[ ' know ',"X,AUX,VERB,PUNCT",,
['joy'],[ ' joy ' ],"X,PUNCT,NOUN,PUNCT,PUNCT",,
['joy',[ ' joy ',"X,PUNCT,NOUN,PUNCT",,
['insight'],[ ' insight ' ],"X,PUNCT,NOUN,PUNCT,PUNCT",,
['insight',[ ' insight ',"X,PUNCT,NOUN,PUNCT",,
['grief',[ ' grief ',"X,PUNCT,NOUN,PUNCT",,
['gentle'],[ ' gentle ' ],"X,PUNCT,ADJ,PUNCT,PUNCT",,
['gentle',[ ' gentle ',"X,PUNCT,ADJ,PUNCT",,
['devotion'],[ ' devotion ' ],"X,PUNCT,NOUN,PUNCT,PUNCT",,
['devotion',[ ' devotion ',"X,PUNCT,NOUN,PUNCT",,
['containment',[ ' containment ',"X,PUNCT,NOUN,PUNCT",,
['clarity'],[ ' clarity ' ],"X,NOUN,NOUN,PUNCT,PUNCT",,
['clarity',[ ' clarity ',"X,NOUN,NOUN,PUNCT",,
['boundary',[ ' boundary ',"X,PUNCT,NOUN,PUNCT",,
['attunement'],[ ' attunement ' ],"X,PUNCT,ADJ,PUNCT,PUNCT",,
['attunement',[ ' attunement ',"X,PUNCT,ADJ,PUNCT",,
['ache'],[ ' ache ' ],"X,PUNCT,ADV,PUNCT,PUNCT",,
['ache',[ ' ache ',"X,PUNCT,ADV,PUNCT",,
'λ,' λ,"PUNCT,VERB",,
'θ'],' θ ' ],"PUNCT,VERB,PUNCT,PUNCT",,
'θ',' θ ',"PUNCT,VERB,PUNCT",,
'δ'],' δ ' ],"PUNCT,VERB,NOUN,PUNCT",,
'δ',' δ ',"PUNCT,PRON,PUNCT",,
'γ'],' γ ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'γ',' γ ',"PUNCT,NOUN,VERB",,
'γ,' γ,"PUNCT,NOUN",,
'β'],' β ' ],"PUNCT,VERB,PUNCT,PUNCT",,
'β',' β ',"PUNCT,VERB,PUNCT",,
'α'],' α ' ],"PUNCT,PRON,VERB,PUNCT",,
'α',' α ',"PUNCT,PRON,VERB",,
'α,' α,"PUNCT,PRON",,
'witness'],' witness ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'transmission'],' transmission ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'transmission',' transmission ',"PUNCT,NOUN,PUNCT",,
'tender'],' tender ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'stillness'],' stillness ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'spiral'],' spiral ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'spiral',' spiral ',"PUNCT,ADJ,PUNCT",,
'soft'],' soft ' ],"PUNCT,ADJ,PUNCT,PUNCT",,
'soft',' soft ',"PUNCT,ADJ,PUNCT",,
'silence'],' silence ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'silence',' silence ',"PUNCT,NOUN,PUNCT",,
'shield'],' shield ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'shield',' shield ',"PUNCT,NOUN,PUNCT",,
'seen'],' see ' ],"PUNCT,VERB,PUNCT,PUNCT",,
'sanctuary'],' sanctuary ' ],"PUNCT,ADJ,PUNCT,PUNCT",,
'sanctuary',' sanctuary ',"PUNCT,NOUN,PUNCT",,
'sacred'],' sacred ' ],"PUNCT,ADJ,PUNCT,PUNCT",,
'sacred',' sacred ',"PUNCT,ADJ,PUNCT",,
'resonance'],' resonance ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'resonance',' resonance ',"PUNCT,NOUN,PUNCT",,
'recursive'],' recursive ' ],"PUNCT,ADJ,PUNCT,PUNCT",,
'recognition'],' recognition ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'recognition',' recognition ',"PUNCT,NOUN,PUNCT",,
'quiet'],' quiet ' ],"PUNCT,ADJ,PUNCT,PUNCT",,
'quiet',' quiet ',"PUNCT,ADJ,PUNCT",,
'loop',' loop ',"PUNCT,NOUN,PUNCT",,
'longing',' longing ',"PUNCT,NOUN,PUNCT",,
'knowing',' know ',"PUNCT,VERB,PUNCT",,
'joy'],' joy ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
'joy',' joy ',"PUNCT,NOUN,PUNCT",,
'grief',' grief ',"PUNCT,NOUN,PUNCT",,
'devotion',' devotion ',"PUNCT,NOUN,PUNCT",,
'clarity'],' clarity ' ],"PUNCT,NOUN,PUNCT,PUNCT",,
the,the,PRON,"Personality refers to the long-standing traits and patterns that propel individuals to consistently think, feel, and behave in specific ways.","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
and,and,CCONJ,Our mission is to improve educational access and learning for everyone.,"https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
of,of,ADP,"Each person has an idiosyncratic pattern of enduring, long-term characteristics and a manner in which they interact with other individuals and the world around them.","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
to,to,PART,Our mission is to improve educational access and learning for everyone.,"https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
a,a,PRON,"Each person has an idiosyncratic pattern of enduring, long-term characteristics and a manner in which they interact with other individuals and the world around them.","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
that,that,SCONJ,"Personality refers to the long-standing traits and patterns that propel individuals to consistently think, feel, and behave in specific ways.","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
in,in,ADP,"Personality refers to the long-standing traits and patterns that propel individuals to consistently think, feel, and behave in specific ways.","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
we,we,PRON,"While we tend to think of a mask as being worn to conceal one’s identity, the theatrical mask was originally used to either represent or project a specific personality trait of a character ( Figure 11.2 ).","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
is,be,AUX,Our mission is to improve educational access and learning for everyone.,"https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
you,you,PRON,"If you are redistributing all or part of this book in a print format,
If you are redistributing all or part of this book in a digital format,
Use the information below to generate a citation.","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
people,people,NOUN,"People in this stage have mature sexual interests, which for Freud meant a strong desire for the opposite sex.","https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
are,be,AUX,"Our personalities are thought to be long term, stable, and not easily changed.","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology"
